id      ,rooms ,area ,rent   ,street                        ,zip_code ,latitude          ,longitude
5197343 ,    1 ,  41 ,  4478 ,Robert Jacobsens Vej          ,    2300 ,55.6187043        ,12.5731692
5231651 ,    3 ,  69 ,  5000 ,Alleen                        ,    2770 ,55.6352961        ,12.6424337
5211190 ,    3 ,  89 , 10500 ,Roskildevej                   ,    2610 ,55.670768         ,12.4525049
5205859 ,    2 ,  56 ,  8403 ,Åbakkevej                     ,    2720 ,55.692219         ,12.500871
5238576 ,    2 ,  58 , 12000 ,Strandboulevarden             ,    2100 ,55.7089681        ,12.5837029
5159265 ,    3 ,  70 ,  9152 ,Mørkhøjvej                    ,    2860 ,55.7208951        ,12.4736383
5234646 ,    1 ,  38 ,  6000 ,Islands Brygge                ,    2300 ,55.6689848        ,12.5799765
5181554 ,    4 ,  95 , 14000 ,Lundtoftegade                 ,    2200 ,55.6974419        ,12.5386965
5121283 ,    3 ,  80 , 12823 ,Elstarvej                     ,    2500 ,55.6571606        ,12.5004714
5142344 ,    3 ,  95 , 11000 ,Ryesgade                      ,    2100 ,55.6958546        ,12.5729945
5230519 ,    1 ,  84 ,  4451 ,Tagensvej                     ,    2200 ,55.7009972        ,12.5514212
5211187 ,    1 ,  40 ,  6300 ,Støberigade                   ,    2450 ,55.6495537        ,12.5514972
5049672 ,    1 ,  41 ,  6386 ,Følager                       ,    2500 ,55.6524055        ,12.5122003
5184679 ,    3 ,  69 ,  9074 ,Mørkhøjvej                    ,    2860 ,55.7210145        ,12.472446
5129093 ,    2 ,  61 ,  9564 ,Peter Bangs Vej               ,    2000 ,55.6780033        ,12.4961945
5188889 ,    1 ,   8 ,  4100 ,Rabarbervej                   ,    2400 ,55.69546219999999 ,12.5245579
5241491 ,    4 ,  92 , 18000 ,Amerikavej                    ,    1756 ,55.6689619        ,12.5419543
5220617 ,    1 ,  20 ,  3500 ,H.C. Andersens Boulevard      ,    1553 ,55.6716522        ,12.5753064
5238499 ,    1 ,  27 ,  6760 ,Jorisvej                      ,    2300 ,55.6463954        ,12.6371988
5227253 ,    5 , 118 , 13000 ,sal                           ,    2100 ,55.7096303        ,12.5768655
5237944 ,    3 ,  63 , 10800 ,Rødovre Port                  ,    2610 ,55.6651225        ,12.4579298
5175435 ,    1 ,  31 ,  6136 ,Jorisvej                      ,    2300 ,55.64632409999999 ,12.6358889
5036698 ,    1 ,  37 ,  5122 ,Strandlodsvej                 ,    2300 ,55.667178         ,12.620381
5231652 ,    1 ,  16 ,  3600 ,Prinsessegade                 ,    1422 ,55.6734269        ,12.5960418
5020108 ,    4 , 134 , 17750 ,Moltkesvej                    ,    2000 ,55.68669190000001 ,12.5112453
5241443 ,    3 , 129 , 24000 ,Sundkaj                       ,    2150 ,55.71039210000001 ,12.596482
5228612 ,    2 ,  58 ,  8500 ,Sjaelor Boulevard             ,    2450 ,55.64930450000001 ,12.5287345
5042716 ,    1 ,  35 ,  7539 ,Hans Knudsens Plads           ,    2100 ,55.713941         ,12.5599257
5181575 ,    4 , 105 , 14859 ,Elstarvej                     ,    2500 ,55.6571957        ,12.5004255
5133110 ,    2 ,  45 , 11900 ,Ane Katrines Vej              ,    2000 ,55.69206490000001 ,12.5347517
5061339 ,    2 ,  54 , 12700 ,Flaskehalsen                  ,    1799 ,55.6648972        ,12.5360626
5230510 ,    3 , 122 , 14000 ,Margretheholmsvej             ,    1432 ,55.6849191        ,12.6147878
5121291 ,    2 ,  66 , 11838 ,Ingrid Marievej               ,    2500 ,55.6567609        ,12.5037915
4933804 ,    3 ,  83 , 12267 ,Robert Jacobsens Vej          ,    2300 ,55.6210635        ,12.5732027
5085150 ,    1 ,  27 ,  5590 ,Tobaksvejen                   ,    2860 ,55.7410736        ,12.4858634
5231649 ,    2 ,  55 ,  9900 ,Lyngbyvej                     ,    2100 ,55.7118775        ,12.5603358
5112271 ,    3 ,  91 , 12297 ,Robert Jacobsens Vej          ,    2300 ,55.6178099        ,12.572924
