rooms ,area ,rent  ,street                        ,zip_code ,latitude          ,longitude
    1 ,  26 , 8650 ,Finsensvej                    ,    2000 ,55.68118870000001 ,12.5186236
    2 ,  38 ,11800 ,Finsensvej                    ,    2000 ,55.68118870000001 ,12.5186236
    1 ,  41 , 4492 ,Nordre Fasanvej               ,    2000 ,55.69509790000001 ,12.5336087
    1 ,  41 , 4478 ,Robert Jacobsens Vej          ,    2300 ,55.6187043        ,12.5731692
    1 ,  47 , 9600 ,Torvegade                     ,    1400 ,55.671192         ,12.5933256
    4 ,  93 ,12900 ,Gadelandet                    ,    2700 ,55.7115422        ,12.4809887
    2 ,  67 ,13800 ,Amager Strandvej              ,    2300 ,55.66752320000002 ,12.6270359
    3 ,  81 ,13600 ,Bryrupvej                     ,    2770 ,55.60972700000001 ,12.583102
    1 ,  29 , 7600 ,Poul Bundgaards Vej           ,    2500 ,55.6591062        ,12.5100733
    2 ,  50 ,12000 ,Sortedam Dossering            ,    2200 ,55.6916758        ,12.5681452
    3 , 146 ,26000 ,Baldrianvej                   ,    2900 ,55.7372863        ,12.5382676
    1 ,  24 , 8300 ,Finsensvej                    ,    2000 ,55.68118870000001 ,12.5186236
    3 ,  70 , 9152 ,Mørkhøjvej                    ,    2860 ,55.7208951        ,12.4736383
    3 ,  74 ,13400 ,Gertrude Steins Vej           ,    2300 ,55.6397887        ,12.5820155
    4 ,  95 ,14000 ,Lundtoftegade                 ,    2200 ,55.6974419        ,12.5386965
    3 ,  89 ,13936 ,Faste Batteri Vej             ,    2300 ,55.6644927        ,12.5914391
    1 ,   8 , 4100 ,Rabarbervej                   ,    2400 ,55.69546219999999 ,12.5245579
    1 , 120 , 6000 ,richards mortensens vej       ,    2300 ,55.6195677        ,12.5712203
    3 ,  95 ,11000 ,Ryesgade                      ,    2100 ,55.6958546        ,12.5729945
    3 ,  69 , 9074 ,Mørkhøjvej                    ,    2860 ,55.7210145        ,12.472446
    1 ,  84 , 4451 ,Tagensvej                     ,    2200 ,55.7009972        ,12.5514212
    1 ,  50 ,10000 ,Azaleavej                     ,    2000 ,55.6711263        ,12.5171446
    3 ,  80 ,12823 ,Elstarvej                     ,    2500 ,55.6571606        ,12.5004714
    1 ,  41 , 6386 ,Følager                       ,    2500 ,55.6524055        ,12.5122003
    2 ,  61 , 9564 ,Peter Bangs Vej               ,    2000 ,55.6780033        ,12.4961945
    2 ,  50 , 9000 ,Tudskærvej                    ,    2720 ,55.6910911        ,12.4690772
    1 ,  40 , 7000 ,Støberigade                   ,    2450 ,55.6495537        ,12.5514972
    3 ,  83 ,12450 ,Irmavej                       ,    2610 ,55.6768504        ,12.4362196
    4 ,  87 ,11900 ,Gyngemose Parkvej             ,    2860 ,55.72670060000001 ,12.4797398
    5 , 219 ,26950 ,Vesterbrogade                 ,    1620 ,55.6726375        ,12.5524931
    4 , 134 ,17750 ,Moltkesvej                    ,    2000 ,55.68669190000001 ,12.5112453
    2 ,  54 ,12700 ,Flaskehalsen                  ,    1799 ,55.6648972        ,12.5360626
    2 ,  45 ,11900 ,Ane Katrines Vej              ,    2000 ,55.69206490000001 ,12.5347517
    1 ,  35 , 7539 ,Hans Knudsens Plads           ,    2100 ,55.713941         ,12.5599257
    1 ,  37 , 5122 ,Strandlodsvej                 ,    2300 ,55.667178         ,12.620381
    3 ,  66 ,13000 ,Ny Adelgade                   ,    1104 ,55.6813373        ,12.5833568
    3 , 102 ,14035 ,Falkevej                      ,    2400 ,55.69874799999998 ,12.53532
    1 ,  47 , 8366 ,Frederikssundsvej             ,    2400 ,55.7012191        ,12.5357119
    1 ,  27 , 5590 ,Tobaksvejen                   ,    2860 ,55.7410736        ,12.4858634
    1 ,  31 , 6136 ,Jorisvej                      ,    2300 ,55.64632409999999 ,12.6358889
    3 ,  83 ,12267 ,Robert Jacobsens Vej          ,    2300 ,55.6210635        ,12.5732027
    2 ,  66 ,11838 ,Ingrid Marievej               ,    2500 ,55.6567609        ,12.5037915
    3 ,  84 ,12950 ,Dieselvej                     ,    2450 ,55.6513877        ,12.5554596
    4 , 107 ,14500 ,Halldór Laxness Vej           ,    2300 ,55.6357535        ,12.5803116
    3 ,  91 ,12297 ,Robert Jacobsens Vej          ,    2300 ,55.6178099        ,12.572924
    2 ,  58 ,11900 ,Gertrude Steins Vej           ,    2300 ,55.6399152        ,12.5829647
    5 , 110 ,19995 ,Falkevej                      ,    2400 ,55.69877          ,12.5351779
    2 ,  86 ,12000 ,Mimers Plads                  ,    2200 ,55.70026859999999 ,12.5457268
    2 ,  55 , 9900 ,Lyngbyvej                     ,    2100 ,55.7118775        ,12.5603358
    3 ,  87 ,14600 ,Ben Websters Vej              ,    2450 ,55.6465652        ,12.5520061
    2 ,  58 ,11950 ,Marstalsgade                  ,    2100 ,55.704081         ,12.588843
    1 ,  22 , 5200 ,Nørrebrogade                  ,    2200 ,55.69325199999999 ,12.5509037
    2 ,  43 , 9400 ,Poppelstykket                 ,    2450 ,55.6513066        ,12.5111867
    4 ,  96 ,13000 ,Hannemanns Allé               ,    2300 ,55.626185         ,12.5762249
    2 ,  81 ,12870 ,Islands Brygge                ,    2300 ,55.6618119        ,12.5696679
    1 ,  44 , 7490 ,Vanløse Allé                  ,    2720 ,55.6915759        ,12.5023195
    1 ,  31 , 6136 ,Jorisvej                      ,    2300 ,55.6458028        ,12.637553
    1 ,  31 , 7600 ,Gammel Køge Landevej          ,    2500 ,55.6557474        ,12.5116058
    2 ,  56 ,10500 ,Roskildevej                   ,    2000 ,55.67151939999999 ,12.5221006
    2 ,  62 ,12500 ,Nygårdsvej                    ,    2100 ,55.71203          ,12.5714277
