,rooms,area,rent,street,zip_code,latitude,longitude,rent_norm
5197343,1,41,4478,Robert Jacobsens Vej          ,2300,55.6187043        ,12.5731692,109.21951219512195
5231651,3,69,5000,Alleen                        ,2770,55.6352961        ,12.6424337,72.46376811594203
5211190,3,89,10500,Roskildevej                   ,2610,55.670768         ,12.4525049,117.97752808988764
5205859,2,56,8403,Åbakkevej                     ,2720,55.692219         ,12.500871,150.05357142857142
5238576,2,58,12000,Strandboulevarden             ,2100,55.7089681        ,12.5837029,206.89655172413794
5159265,3,70,9152,Mørkhøjvej                    ,2860,55.7208951        ,12.4736383,130.74285714285713
5234646,1,38,6000,Islands Brygge                ,2300,55.6689848        ,12.5799765,157.89473684210526
5181554,4,95,14000,Lundtoftegade                 ,2200,55.6974419        ,12.5386965,147.3684210526316
5121283,3,80,12823,Elstarvej                     ,2500,55.6571606        ,12.5004714,160.2875
5142344,3,95,11000,Ryesgade                      ,2100,55.6958546        ,12.5729945,115.78947368421052
5230519,1,84,4451,Tagensvej                     ,2200,55.7009972        ,12.5514212,52.98809523809524
5211187,1,40,6300,Støberigade                   ,2450,55.6495537        ,12.5514972,157.5
5049672,1,41,6386,Følager                       ,2500,55.6524055        ,12.5122003,155.7560975609756
5184679,3,69,9074,Mørkhøjvej                    ,2860,55.7210145        ,12.472446,131.5072463768116
5129093,2,61,9564,Peter Bangs Vej               ,2000,55.6780033        ,12.4961945,156.78688524590163
5188889,1,8,4100,Rabarbervej                   ,2400,55.69546219999999 ,12.5245579,512.5
5241491,4,92,18000,Amerikavej                    ,1756,55.6689619        ,12.5419543,195.65217391304347
5220617,1,20,3500,H.C. Andersens Boulevard      ,1553,55.6716522        ,12.5753064,175.0
5238499,1,27,6760,Jorisvej                      ,2300,55.6463954        ,12.6371988,250.37037037037038
5227253,5,118,13000,sal                           ,2100,55.7096303        ,12.5768655,110.16949152542372
5237944,3,63,10800,Rødovre Port                  ,2610,55.6651225        ,12.4579298,171.42857142857142
5175435,1,31,6136,Jorisvej                      ,2300,55.64632409999999 ,12.6358889,197.93548387096774
5036698,1,37,5122,Strandlodsvej                 ,2300,55.667178         ,12.620381,138.43243243243242
5231652,1,16,3600,Prinsessegade                 ,1422,55.6734269        ,12.5960418,225.0
5020108,4,134,17750,Moltkesvej                    ,2000,55.68669190000001 ,12.5112453,132.46268656716418
5241443,3,129,24000,Sundkaj                       ,2150,55.71039210000001 ,12.596482,186.04651162790697
5228612,2,58,8500,Sjaelor Boulevard             ,2450,55.64930450000001 ,12.5287345,146.55172413793105
5042716,1,35,7539,Hans Knudsens Plads           ,2100,55.713941         ,12.5599257,215.4
5181575,4,105,14859,Elstarvej                     ,2500,55.6571957        ,12.5004255,141.5142857142857
5133110,2,45,11900,Ane Katrines Vej              ,2000,55.69206490000001 ,12.5347517,264.44444444444446
5061339,2,54,12700,Flaskehalsen                  ,1799,55.6648972        ,12.5360626,235.1851851851852
5230510,3,122,14000,Margretheholmsvej             ,1432,55.6849191        ,12.6147878,114.75409836065573
5121291,2,66,11838,Ingrid Marievej               ,2500,55.6567609        ,12.5037915,179.36363636363637
4933804,3,83,12267,Robert Jacobsens Vej          ,2300,55.6210635        ,12.5732027,147.79518072289156
5085150,1,27,5590,Tobaksvejen                   ,2860,55.7410736        ,12.4858634,207.03703703703704
5231649,2,55,9900,Lyngbyvej                     ,2100,55.7118775        ,12.5603358,180.0
5112271,3,91,12297,Robert Jacobsens Vej          ,2300,55.6178099        ,12.572924,135.13186813186815
5024243,4,107,14500,Halldór Laxness Vej           ,2300,55.6357535        ,12.5803116,135.51401869158877
5239422,2,59,11700,Emma Gads Vej                 ,2300,55.638214         ,12.58092,198.3050847457627
5241358,2,65,12200,Dea Trier Mørchs Vej          ,2300,55.6365583        ,12.5804285,187.69230769230768
5062039,2,86,12000,Mimers Plads                  ,2200,55.70026859999999 ,12.5457268,139.53488372093022
