id, rooms, area, rent, street, zip_code, latitude, longitude
5258516,1,44,4806,Robert Jacobsens Vej,2300,55.6187043,12.5731692
5246787,2,59,8500,Frederiksborgvej,2400,55.70233390000001,12.5332455
5249769,3,69,5000,Alleen,2770,55.6352961,12.6424337
5238576,2,58,12000,Strandboulevarden,2100,55.7089681,12.5837029
5211190,3,89,10500,Roskildevej,2610,55.670768,12.4525049
5252892,2,44,10000,Sundkaj,2150,55.70985109999999,12.5991775
5249737,2,58,8500,Sjaelor Boulevard,2450,55.64930450000001,12.5287345
5242879,5,135,19200,A.C. Meyers Vænge,2450,55.6527629,12.5433988
5248131,1,38,5216,Følager,2500,55.6524055,12.5122003
5247994,1,37,6900,Rebslagervej,2400,55.7037537,12.5374483
5254023,1,41,4570,Robert Jacobsens Vej,2300,55.6187043,12.5731692
5181554,4,95,14000,Lundtoftegade,2200,55.6974419,12.5386965
5121283,3,80,12823,Elstarvej,2500,55.6571606,12.5004714
5184679,3,69,9074,Mørkhøjvej,2860,55.7210145,12.472446
5142344,3,95,11000,Ryesgade,2100,55.6958546,12.5729945
5259278,1,34,8900,Amerikavej,1756,55.6689619,12.5419543
5049672,1,41,6386,Følager,2500,55.6524055,12.5122003
5256161,5,114,16650,Gyldenrisvej,2300,55.640774,12.608928
5244152,3,104,13030,Margretheholmsvej,1432,55.6839003,12.6151801
5188889,1,8,4100,Rabarbervej,2400,55.69546219999999,12.5245579
5249720,3,73,11000,Enghavevej,1674,55.6634654,12.5422596
5220617,1,20,3500,H.C. Andersens Boulevard,1553,55.6716522,12.5753064
5260010,1,29,7400,Vanløse Allé,2720,55.6884627,12.4943031
5175435,1,31,6136,Jorisvej,2300,55.64632409999999,12.6358889
5036698,1,37,5122,Strandlodsvej,2300,55.667178,12.620381
5260949,3,66,13000,Ny Adelgade,1104,55.6813373,12.5833568
5020108,4,134,17750,Moltkesvej,2000,55.68669190000001,12.5112453
5042716,1,35,7539,Hans Knudsens Plads,2100,55.713941,12.5599257
