,id,rooms,area,rent,latitude,longitude,rent_norm
0,5248131,1,38,5216,55.652406,12.5122,137.26315789473685
1,5275700,1,37,7900,55.671065,12.501394,213.51351351351352
2,5211187,1,40,6300,55.649554,12.551497,157.5
3,5263181,3,73,11000,55.663465,12.54226,150.68493150684932
4,5249720,3,73,11000,55.663465,12.54226,150.68493150684932
5,5142344,3,95,11000,55.695855,12.572995,115.78947368421052
6,5260949,3,66,13000,55.681337,12.583357,196.96969696969697
7,5121283,3,80,12823,55.657161,12.500471,160.2875
8,5252892,2,44,10000,55.709851,12.599177,227.27272727272728
9,5249769,3,69,5000,55.635296,12.642434,72.46376811594203
10,5244152,3,104,13030,55.6839,12.61518,125.28846153846153
11,5249737,2,58,8500,55.649305,12.528735,146.55172413793105
12,5262516,1,25,3500,55.655457,12.609949,140.0
13,5262432,1,31,7050,55.703613,12.553748,227.41935483870967
14,5265262,1,15,6000,55.684023,12.5737,400.0
15,5181554,4,95,14000,55.697442,12.538697,147.3684210526316
16,5184679,3,69,9074,55.721015,12.472446,131.5072463768116
17,5263643,4,111,15815,55.64695,12.543446,142.47747747747746
18,5242879,5,135,19200,55.652763,12.543399,142.22222222222223
19,5042716,1,35,7539,55.713941,12.559926,215.4
20,5275711,1,30,7500,55.688463,12.494303,250.0
21,5247994,1,37,6900,55.703754,12.537448,186.48648648648648
22,5036698,1,37,5122,55.667178,12.620381,138.43243243243242
23,5262429,2,50,8400,55.649554,12.551497,168.0
24,5275739,1,31,6000,55.711297,12.480605,193.5483870967742
25,5275894,2,279,40000,55.737706,12.581538,143.36917562724014
26,5249740,1,84,4451,55.700997,12.551421,52.98809523809524
27,5275713,1,30,7500,55.688463,12.494303,250.0
28,5275327,3,74,13130,55.659972,12.513117,177.43243243243242
29,5275735,1,29,7400,55.688463,12.494303,255.17241379310346
30,5049672,1,41,6386,55.652406,12.5122,155.7560975609756
31,5275437,3,97,15611,55.646029,12.552433,160.93814432989691
32,5246766,3,89,13936,55.664493,12.591439,156.58426966292134
33,5275914,5,160,23000,55.676226,12.54137,143.75
