id,rooms,area,rent,norm_rent,latitude,longitude
KK-FA076(2521),5.0,118.0,17907,151.75,55.6215798,12.57225282
KK-FO021(2521),2.0,65.0,11419,175.68,55.62178842,12.57203376
199500004381995004,2.0,78.0,12000,153.85,55.63276631,12.58229372
11802696,4.0,142.0,23075,162.5,55.68437241,12.57140126
11802617,3.0,117.0,15500,132.48,55.66241736,12.63008906
11802578,4.0,136.0,17500,128.68,55.65130552,12.54247031
11802610,2.0,56.0,11950,213.39,55.65643949,12.56025204
11802662,4.0,131.0,19995,152.63,55.64466862,12.54832141
10-X00017473426001,3.0,80.0,12200,152.5,55.62087245,12.56942312
10-X00017023426001,3.0,89.0,12700,142.7,55.62070049,12.57084377
10-X00016893426001,3.0,78.0,11700,150.0,55.62070049,12.57084377
10-X00018313426001,4.0,119.0,15400,129.41,55.63640691,12.58303335
1770007848177009,4.0,91.0,13900,152.75,55.63968386,12.58268348
1770007909177009,3.0,77.0,13300,172.73,55.63563482,12.57837225
1770007972177009,3.0,70.0,12950,185.0,55.63563482,12.57837225
1770008104177009,3.0,73.0,12800,175.34,55.63968386,12.58268348
1770008217177009,3.0,105.0,18500,176.19,55.6810976,12.57303083
1770008265177009,3.0,93.0,12900,138.71,55.63968386,12.58268348
1770008267177009,3.0,142.0,27500,193.66,55.67181443,12.57927197
1770008268177009,4.0,103.0,14500,140.78,55.61903307,12.56857462
1770008280177009,1.0,44.0,8900,202.27,55.66769246,12.51667676
1770008318177009,3.0,74.0,12600,170.27,55.63701608,12.58025869
1770008215177009,3.0,72.0,14950,207.64,55.69307927,12.54489454
1770008087177009,3.0,75.0,13200,176.0,55.63563482,12.57837225
1770008331177009,4.0,110.0,17500,159.09,55.66469902,12.62250075
1770007642177009,2.0,32.0,10800,337.5,55.68076211,12.51831613
1770007983177009,2.0,55.0,11900,216.36,55.63563482,12.57837225
1770008339177009,5.0,138.0,18500,134.06,55.66532121,12.62679088
1770008349177009,1.0,35.0,7550,215.71,55.6512869,12.51149568
10-X00017533426001,4.0,114.0,14700,128.95,55.62083928,12.57028086
1770008350177009,2.0,43.0,9400,218.6,55.6512869,12.51149568
1770007155177009,3.0,67.0,12400,185.07,55.64000307,12.5830465
1770007319177009,3.0,91.0,14200,156.04,55.64082383,12.58347388
1770008064177009,3.0,74.0,13500,182.43,55.64082383,12.58347388
10-X00017763426001,5.0,120.0,15400,128.33,55.62087245,12.56942312
199500004431995004,3.0,87.0,16000,183.91,55.66021754,12.63253298
1770008341177009,1.0,35.0,7600,217.14,55.6512869,12.51149568
1770008344177009,1.0,35.0,7600,217.14,55.6512869,12.51149568
1770006729177009,1.0,46.0,9500,206.52,55.65926836,12.51011501
1770006758177009,1.0,45.0,10900,242.22,55.65926836,12.51011501
1770008343177009,1.0,35.0,7550,215.71,55.65174886,12.51134881
1770008372177009,2.0,122.0,21400,175.41,55.67210396,12.57891196
1770007738177009,2.0,29.0,10600,365.52,55.68076211,12.51831613
1770007801177009,2.0,29.0,10700,368.97,55.68076211,12.51831613
1770007766177009,2.0,37.0,10950,295.95,55.68076211,12.51831613
