id,rooms,area,rent,norm_rent,latitude,longitude
5248131,1,38,5216,137.26,55.652406,12.5122
5275700,1,37,7900,213.51,55.671065,12.501394
5211187,1,40,6300,157.5,55.649554,12.551497
5263181,3,73,11000,150.68,55.663465,12.54226
5249720,3,73,11000,150.68,55.663465,12.54226
5142344,3,95,11000,115.79,55.695855,12.572995
5260949,3,66,13000,196.97,55.681337,12.583357
5121283,3,80,12823,160.29,55.657161,12.500471
5252892,2,44,10000,227.27,55.709851,12.599177
5249769,3,69,5000,72.46,55.635296,12.642434
5244152,3,104,13030,125.29,55.6839,12.61518
5249737,2,58,8500,146.55,55.649305,12.528735
5262516,1,25,3500,140.0,55.655457,12.609949
5262432,1,31,7050,227.42,55.703613,12.553748
5265262,1,15,6000,400.0,55.684023,12.5737
5181554,4,95,14000,147.37,55.697442,12.538697
5184679,3,69,9074,131.51,55.721015,12.472446
5263643,4,111,15815,142.48,55.64695,12.543446
5242879,5,135,19200,142.22,55.652763,12.543399
5042716,1,35,7539,215.4,55.713941,12.559926
5275711,1,30,7500,250.0,55.688463,12.494303
5247994,1,37,6900,186.49,55.703754,12.537448
5036698,1,37,5122,138.43,55.667178,12.620381
5262429,2,50,8400,168.0,55.649554,12.551497
5275739,1,31,6000,193.55,55.711297,12.480605
5275894,2,279,40000,143.37,55.737706,12.581538
5249740,1,84,4451,52.99,55.700997,12.551421
5275713,1,30,7500,250.0,55.688463,12.494303
5275327,3,74,13130,177.43,55.659972,12.513117
5275735,1,29,7400,255.17,55.688463,12.494303
5049672,1,41,6386,155.76,55.652406,12.5122
5275437,3,97,15611,160.94,55.646029,12.552433
5246766,3,89,13936,156.58,55.664493,12.591439
5275914,5,160,23000,143.75,55.676226,12.54137
5188889,1,8,4100,512.5,55.695462,12.524558
5020108,4,134,17750,132.46,55.686692,12.511245
5085150,1,27,5590,207.04,55.741074,12.485863
5275266,2,64,12500,195.31,55.733989,12.575129
5247638,1,43,6500,151.16,55.649554,12.551497
5273992,2,59,10900,184.75,55.726775,12.477716
5266731,2,31,7500,241.94,55.68671,12.503927
5061339,2,54,12700,235.19,55.664897,12.536063
5249734,3,122,12500,102.46,55.684919,12.614788
4933804,3,83,12267,147.8,55.621063,12.573203
5270980,2,69,11630,168.55,55.660841,12.50309
5024243,4,107,14500,135.51,55.635753,12.580312
5112271,3,91,12297,135.13,55.61781,12.572924
5270474,3,90,16000,177.78,55.677717,12.578245
5062039,2,86,12000,139.53,55.700269,12.545727
5249766,2,55,9900,180.0,55.711877,12.560336
5181575,4,105,14859,141.51,55.657196,12.500426
5262326,2,52,10140,195.0,55.646395,12.637199
5275340,1,34,6200,182.35,55.720895,12.556455
5271364,1,32,6250,195.31,55.72722,12.47929
5266222,4,130,16500,126.92,55.707105,12.445281
3728881,2,62,12500,201.61,55.71203,12.571428
4572076,2,52,7354,141.42,55.695959,12.500281
5143983,3,102,14035,137.6,55.698748,12.53532
5252433,2,73,11630,159.32,55.656761,12.503792
5266718,2,56,10000,178.57,55.655898,12.503485
5244746,2,56,11900,212.5,55.709572,12.566432
5268101,1,54,10000,185.19,55.689953,12.562738
5187916,2,81,12870,158.89,55.661812,12.569668
5275418,2,83,15700,189.16,55.700668,12.535284
5250949,4,104,14935,143.61,55.662742,12.596234
5274332,2,104,19000,182.69,55.699196,12.593657
5267433,4,105,17425,165.95,55.706699,12.53082
5127687,4,96,13000,135.42,55.626185,12.576225
5270946,4,105,14450,137.62,55.618121,12.567602
