longitude,latitude,geometry,interpolated_norm_rent
12.433844,55.606455,POINT (12.433844 55.606455),192.97496525076374
12.475562,55.606455,POINT (12.475562 55.606455),109.59217893779157
12.51728,55.606455,POINT (12.51728 55.606455),186.43617006939502
12.558998,55.606455,POINT (12.558998 55.606455),180.60000000000002
12.600716,55.606455,POINT (12.600716 55.606455),106.52256091323629
12.433844,55.648173,POINT (12.433844 55.648173),153.11470935784848
12.475562,55.648173,POINT (12.475562 55.648173),113.01017159489685
12.51728,55.648173,POINT (12.51728 55.648173),145.8101506311298
12.558998,55.648173,POINT (12.558998 55.648173),175.40041132278824
12.600716,55.648173,POINT (12.600716 55.648173),202.9084435293369
12.433844,55.689891,POINT (12.433844 55.689891),137.84499999999997
12.475562,55.689891,POINT (12.475562 55.689891),163.6556351635007
12.51728,55.689891,POINT (12.51728 55.689891),172.9003375572913
12.558998,55.689891,POINT (12.558998 55.689891),131.63893544469556
12.600716,55.689891,POINT (12.600716 55.689891),175.88608791198848
12.433844,55.731609,POINT (12.433844 55.731609),129.73719473841416
12.475562,55.731609,POINT (12.475562 55.731609),136.85500000000002
12.51728,55.731609,POINT (12.51728 55.731609),105.93244549615878
12.558998,55.731609,POINT (12.558998 55.731609),168.21000000000004
12.600716,55.731609,POINT (12.600716 55.731609),183.60807637984533
